Sex,Single Year of Age,Carlow County Council,Cavan County Council,Clare County Council,Cork City Council,Cork County Council,Donegal County Council,Dublin City Council,Dún Laoghaire Rathdown County Council,Fingal County Council,Galway City Council,Galway County Council,Ireland,Kerry County Council,Kildare County Council,Kilkenny County Council,Laois County Council,Leitrim County Council,Limerick City & County Council,Longford County Council,Louth County Council,Mayo  County Council,Meath County Council,Monaghan County Council,Offaly County Council,Roscommon County Council,Sligo County Council,South Dublin County Council,Tipperary County Council,Waterford City & County Council,Westmeath County Council,Wexford County Council,Wicklow County Council
Female,0,353.0,501.0,691.0,1124.0,2055.0,881.0,3025.0,1188.0,1950.0,387.0,1073.0,28186.0,843.0,1455.0,553.0,545.0,204.0,1049.0,270.0,848.0,730.0,1368.0,423.0,454.0,366.0,367.0,1689.0,915.0,662.0,535.0,882.0,800.0
Female,1,302.0,477.0,704.0,1136.0,2045.0,918.0,2762.0,1192.0,1907.0,395.0,1082.0,27545.0,739.0,1452.0,545.0,491.0,202.0,1087.0,238.0,722.0,790.0,1235.0,386.0,446.0,384.0,383.0,1751.0,872.0,602.0,602.0,878.0,820.0
Female,2,334.0,520.0,744.0,1162.0,2106.0,983.0,2795.0,1238.0,2112.0,386.0,1161.0,28974.0,803.0,1559.0,559.0,564.0,229.0,1130.0,243.0,793.0,731.0,1388.0,436.0,456.0,428.0,360.0,1867.0,879.0,665.0,532.0,921.0,890.0
Female,3,378.0,525.0,745.0,1106.0,2177.0,1044.0,2705.0,1309.0,2161.0,389.0,1191.0,29483.0,847.0,1509.0,597.0,571.0,192.0,1159.0,300.0,787.0,743.0,1389.0,412.0,478.0,418.0,405.0,1859.0,1019.0,721.0,558.0,903.0,886.0
Female,4,369.0,492.0,766.0,1101.0,2262.0,1047.0,2755.0,1278.0,2147.0,418.0,1189.0,29819.0,844.0,1563.0,618.0,577.0,227.0,1227.0,283.0,814.0,751.0,1448.0,424.0,488.0,406.0,408.0,1868.0,998.0,634.0,609.0,921.0,887.0
Female,5,365.0,544.0,799.0,1186.0,2347.0,1095.0,2782.0,1426.0,2252.0,412.0,1286.0,31342.0,935.0,1604.0,644.0,607.0,218.0,1190.0,299.0,896.0,832.0,1520.0,448.0,530.0,442.0,392.0,1946.0,987.0,728.0,617.0,1000.0,1013.0
Female,6,367.0,591.0,789.0,1228.0,2434.0,1061.0,2879.0,1394.0,2361.0,406.0,1361.0,32622.0,903.0,1722.0,669.0,630.0,236.0,1317.0,287.0,935.0,847.0,1628.0,513.0,522.0,473.0,401.0,2057.0,1079.0,780.0,668.0,1058.0,1026.0
Female,7,455.0,555.0,805.0,1195.0,2605.0,1075.0,2891.0,1469.0,2476.0,433.0,1291.0,33572.0,946.0,1776.0,756.0,696.0,239.0,1271.0,345.0,936.0,874.0,1665.0,458.0,618.0,504.0,426.0,2092.0,1088.0,841.0,677.0,1069.0,1045.0
Female,8,404.0,615.0,801.0,1246.0,2625.0,1095.0,2991.0,1468.0,2608.0,480.0,1408.0,34437.0,919.0,1773.0,702.0,723.0,255.0,1362.0,313.0,1011.0,861.0,1712.0,476.0,578.0,470.0,461.0,2183.0,1156.0,820.0,712.0,1104.0,1105.0
Female,9,435.0,602.0,873.0,1271.0,2699.0,1169.0,2930.0,1550.0,2625.0,465.0,1345.0,35227.0,1000.0,1893.0,773.0,655.0,258.0,1363.0,356.0,1061.0,908.0,1832.0,457.0,600.0,483.0,448.0,2224.0,1140.0,826.0,706.0,1119.0,1161.0
